rid,sent_t,ttft_s,latency_s,chunks,avg_tbt_s,worst_tbt_s,is_ft,prompt_length,max_new_tokens,completion_tokens,error
398921bddd7d4a3aa35c18aa8d0f86b5,5.0054,0.0192,0.5024,80,0.0061,0.0125,0,80,80,80,
bd23985ba3ce4a1296ca3204d2fd3cf3,5.0673,0.0173,0.5082,80,0.0062,0.0125,0,80,80,80,
3cb3001dc14a417e95e1c99ce208a055,5.1336,0.0167,0.5093,80,0.0062,0.0125,0,80,80,80,
bb71ce16c16a4fd7917d5fbe9234411b,5.2005,0.0175,0.5103,80,0.0062,0.0125,0,80,80,80,
ebc2cf04de1b4ac2a9cfff01af68ca80,5.2674,0.0183,0.5120,80,0.0062,0.0124,0,80,80,80,
be4998344e70410e832363142fce23c8,5.3336,0.0185,0.5080,80,0.0062,0.0124,0,80,80,80,
bdec7585cd4e4dbe83681c683c895a57,5.4005,0.0141,0.5049,80,0.0062,0.0123,0,80,80,80,
f5c773ae499e4780b73a55011eba31e3,5.4671,0.0182,0.5079,80,0.0062,0.0120,0,80,80,80,
d77b6c8ca3ba4d07a122c7b3023ee5ca,5.5340,0.0138,0.5029,80,0.0062,0.0121,0,80,80,80,
3cfdd7844b464ec695fbaaaf48eedb10,5.6005,0.0149,0.5041,80,0.0062,0.0120,0,80,80,80,
143de464334a43db8da63c1c6d597f4e,5.6673,0.0156,0.5050,80,0.0062,0.0120,0,80,80,80,
b27c94017cb5461fa472f2a58750b046,5.7344,0.0173,0.5052,80,0.0062,0.0121,0,80,80,80,
00e3c90812534bff94f0140b70df68d2,5.8007,0.0182,0.5064,80,0.0062,0.0120,0,80,80,80,
8be5cd5d4f7d421a94899f427fd79931,5.8672,0.0144,0.5015,80,0.0062,0.0116,0,80,80,80,
6c0c3e638e2d4f5c8be59bbcced0fc8f,5.9337,0.0189,0.5035,80,0.0061,0.0116,0,80,80,80,
c05ee43d978948a299228507c0c0d0ff,6.0006,0.0137,0.4996,80,0.0062,0.0116,0,80,80,80,
a94284422bbd4efdb2d407f970d71a67,6.0672,0.0151,0.5008,80,0.0061,0.0117,0,80,80,80,
c0ad3506d50e44a485148e15bd96f5f1,6.1339,0.0157,0.5023,80,0.0062,0.0116,0,80,80,80,
d7a2994570814e63a0fb2b1def48ab04,6.2001,0.0170,0.5080,80,0.0062,0.0117,0,80,80,80,
748b6ffca7e548fcb87d94edd7345039,6.2671,0.0177,0.5090,80,0.0062,0.0117,0,80,80,80,
9f079127bbbf446b99898fa7c837d26c,6.3336,0.0183,0.5108,80,0.0062,0.0117,0,80,80,80,
fb55a05c74494423b2bd098f1111868a,6.4008,0.0142,0.5126,80,0.0063,0.0156,0,80,80,80,
ed3840a62b894d2792d724db784f6e50,6.4670,0.0158,0.5153,80,0.0063,0.0156,0,80,80,80,
