rid,sent_t,ttft_s,latency_s,chunks,avg_tbt_s,worst_tbt_s,is_ft,prompt_length,max_new_tokens,completion_tokens,error
5dd4cf45417a4c3b9190264bb81a8531,5.0055,0.0216,0.5376,80,0.0065,0.0268,1,80,80,80,
cdaefb8385a84a159a2a8c775beb5976,5.0718,0.0325,0.9583,80,0.0117,0.4070,0,80,80,80,
769df50483ea48bea04e3597261e2419,5.1438,0.0191,0.9417,80,0.0117,0.4071,0,80,80,80,
a4c4b589baee474681e4c836347dfda1,5.2150,0.0196,0.9405,80,0.0117,0.4070,0,80,80,80,
1bd6070861a44fcd8c04811ad3ae583a,5.2861,0.0210,0.9401,80,0.0116,0.4071,0,80,80,80,
7646571d35624274bb4a1f971835dd7a,5.3579,0.0198,0.9397,80,0.0116,0.4071,0,80,80,80,
3d7d27919812406b8f72fea95dd28556,5.4289,0.0195,0.9397,80,0.0116,0.4070,0,80,80,80,
f0e671eec0af4ec9aa83a2b29745c828,5.5003,0.0191,0.9402,80,0.0117,0.4070,0,80,80,80,
5be6a62160a546b892bef5979212e6dc,5.5718,0.4213,0.9401,80,0.0066,0.0127,0,80,80,80,
d1f25026923c47c9984e5e000595ce43,5.6433,0.3565,0.8689,80,0.0065,0.0125,0,80,80,80,
5a3a2bb0b6fc4d2bb965034b58589c88,5.7151,0.2846,0.7970,80,0.0065,0.0125,1,80,80,80,
9e7ed2016bcd4de4ac92b0a3422af237,5.7870,0.2127,0.7251,80,0.0065,0.0126,0,80,80,80,
b38c7b0dea2046d89e888a4f972090ba,5.8579,0.1417,0.6542,80,0.0065,0.0126,0,80,80,80,
b0733e739a514edaa081cb77ecf8f1c0,5.9290,0.0706,0.5828,80,0.0065,0.0126,0,80,80,80,
dd02bb3929c341c586bd6b75a339be42,6.0008,0.0169,0.5291,80,0.0065,0.0126,0,80,80,80,
d0f7bc4b1c634f1dbda9340c14712994,6.0720,0.0199,0.5332,80,0.0065,0.0126,0,80,80,80,
02a40b22ea164c52a005ea5e8f0df718,6.1433,0.0183,0.5384,80,0.0066,0.0126,0,80,80,80,
6667cf8d5ad6426cb84dd4bede46da16,6.2146,0.0179,0.5423,80,0.0066,0.0125,0,80,80,80,
8e18d8b2e679446e826ddad823c20d23,6.2864,0.0173,0.5454,80,0.0067,0.0126,0,80,80,80,
274bfb95fedd4f438bf42b70c0756eb0,6.3578,0.0168,0.5500,80,0.0067,0.0126,0,80,80,80,
8409eb0920e84fd999d2341de8f7a10b,6.4293,0.0172,0.5507,80,0.0068,0.0125,1,80,80,80,
aa5a37c2ca8245a89008be0a39f9c5c7,6.5001,0.0174,0.5427,80,0.0066,0.0125,0,80,80,80,
4bd445873b3f4b77a3c5557968e840a4,6.5720,0.0158,0.5277,80,0.0065,0.0125,0,80,80,80,
13dfe7858e344f4b8ddd43d1755a207c,6.6438,0.0146,0.5130,80,0.0063,0.0125,0,80,80,80,
bab61975142a45469d306f34baffd8c4,6.7150,0.0181,0.5058,80,0.0062,0.0124,0,80,80,80,
9690dc89aa1244a3a3f02c2c6bb2f991,6.7859,0.0153,0.4915,80,0.0060,0.0120,0,80,80,80,
f654200fa8f54fd198cf531d97f848fb,6.8580,0.0200,0.4828,80,0.0059,0.0116,0,80,80,80,
73fd338b7fdb40b18bc0e143b9754b22,6.9288,0.0146,0.4612,80,0.0057,0.0066,0,80,80,80,
68831036323d407c9ce46f9a39d6da81,11.0039,0.0178,0.5213,80,0.0064,0.0124,0,80,80,80,
57849997fa3c4efabf9ed06b0671af2e,11.0719,0.0196,0.5327,80,0.0065,0.0124,0,80,80,80,
fe69d5a928a349e99dee0e8f67a65efa,11.1437,0.0190,0.5321,80,0.0065,0.0124,1,80,80,80,
4161e2cebd024601af02f2eadbe45f46,11.2144,0.0142,0.5206,80,0.0064,0.0123,0,80,80,80,
969b7be173cd4f468939ff13023edad3,11.2863,0.0196,0.5481,80,0.0067,0.0229,0,80,80,80,
614ff4d188a54f07a75d572a33de8332,11.3581,0.0141,0.5399,80,0.0067,0.0229,0,80,80,80,
2eef428803d94801b9ac5ebb05c4be14,11.4289,0.0143,0.5391,80,0.0066,0.0229,0,80,80,80,
9c61d9087056433596182339280ccaf7,11.5002,0.0192,0.5435,80,0.0066,0.0229,0,80,80,80,
c0cb1c07808f4be4b94613f91a5fbd56,11.5721,0.0208,0.5430,80,0.0066,0.0228,0,80,80,80,
987851f8974f42a3800bc93c9fc89ea7,11.6431,0.0150,0.5401,80,0.0066,0.0229,0,80,80,80,
645af79cdae349afab557de46ac460a7,11.7153,0.0259,0.5588,80,0.0067,0.0229,0,80,80,80,
9cd976752d1c4993913e5dcb73fe56c2,11.7862,0.0185,0.5348,80,0.0065,0.0139,0,80,80,80,
6f0fcf9efd1d415aa4305ac8091c9eb9,11.8574,0.0175,0.5342,80,0.0065,0.0139,1,80,80,80,
4b5a90a21f2e4305a55fedb1fd93f782,11.9291,0.0157,0.5326,80,0.0065,0.0139,0,80,80,80,
