rid,sent_t,ttft_s,latency_s,chunks,avg_tbt_s,worst_tbt_s,is_ft,prompt_length,max_new_tokens,completion_tokens,error
bbf6993a166d46348634a5b0e646b045,5.0054,0.0193,0.5004,80,0.0061,0.0126,0,80,80,80,
43f9dc27699d4b0999ac41b108b25c1c,5.0724,0.0239,0.5215,80,0.0063,0.0130,0,80,80,80,
4ac79f34990e430aba6374461515144c,5.1438,0.0151,0.5102,80,0.0063,0.0130,0,80,80,80,
5e5baaa85e954ecd93a540d87025e6b8,5.2146,0.0224,0.5128,80,0.0062,0.0130,0,80,80,80,
d1931c1a524d40e399cf0cca5f17eca9,5.2861,0.0183,0.5161,80,0.0063,0.0160,0,80,80,80,
d640fda2bc0641cb91ef7fca4ad7182e,5.3576,0.0148,0.5282,80,0.0065,0.0160,0,80,80,80,
b3639b9f19cb467aba17f8307fd67ba6,5.4289,0.0206,0.5303,80,0.0065,0.0160,0,80,80,80,
8e488bf59f734e6ea88cf819affbaee4,5.5011,0.0176,0.5257,80,0.0064,0.0160,0,80,80,80,
3959a6d379c0425398b13d308e9550f9,5.5724,0.0149,0.5203,80,0.0064,0.0160,0,80,80,80,
939be8b3dd96423381b8a87669617167,5.6432,0.0170,0.5242,80,0.0064,0.0160,0,80,80,80,
3ac2ac31c8b148258ec4e53f0c55ff15,5.7146,0.0241,0.5262,80,0.0064,0.0131,0,80,80,80,
1dc5f1ea3dc240baaa019aaab74cf704,5.7862,0.0226,0.5228,80,0.0063,0.0130,0,80,80,80,
5a6f54c10075472588e215ff0b3f321a,5.8573,0.0155,0.5024,80,0.0062,0.0129,0,80,80,80,
90aed9f63fc54c7aabcb2640ad3547ff,5.9287,0.0136,0.4977,80,0.0061,0.0131,0,80,80,80,
75489ed7590342b1890ee2159b87768e,6.0004,0.0150,0.4990,80,0.0061,0.0131,0,80,80,80,
eb29a8652444428496c4105174ab968b,6.0716,0.0266,0.5093,80,0.0061,0.0122,0,80,80,80,
5b7a4e8a3ee14c1ba0ed9c02db91596a,6.1432,0.0183,0.5093,80,0.0062,0.0182,0,80,80,80,
